survived,pclass,sex_numeric,embarked_numeric,cabin_numeric,sibsp,parch,fare,age,target
1.0,1.0,1.0,1.0,2.0,0.0,0.0,211.3375,29.0,S
1.0,1.0,0.0,1.0,3.0,1.0,2.0,151.55,0.9167,S
0.0,1.0,1.0,1.0,3.0,1.0,2.0,151.55,2.0,NS
0.0,1.0,0.0,1.0,3.0,1.0,2.0,151.55,30.0,NS
0.0,1.0,1.0,1.0,3.0,1.0,2.0,151.55,25.0,NS
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.55,48.0,S
1.0,1.0,1.0,1.0,4.0,1.0,0.0,77.9583,63.0,S
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,NS
1.0,1.0,1.0,1.0,3.0,2.0,0.0,51.4792,53.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,49.5042,71.0,NS
0.0,1.0,0.0,2.0,3.0,1.0,0.0,227.525,47.0,NS
1.0,1.0,1.0,2.0,3.0,1.0,0.0,227.525,18.0,S
1.0,1.0,1.0,2.0,2.0,0.0,0.0,69.3,24.0,S
1.0,1.0,1.0,1.0,0.0,0.0,0.0,78.85,26.0,S
1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,80.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.925,29.8811345124283,NS
0.0,1.0,0.0,2.0,2.0,0.0,1.0,247.5208,24.0,NS
1.0,1.0,1.0,2.0,2.0,0.0,1.0,247.5208,50.0,S
1.0,1.0,1.0,2.0,4.0,0.0,0.0,76.2917,32.0,S
0.0,1.0,0.0,2.0,3.0,0.0,0.0,75.2417,36.0,NS
1.0,1.0,0.0,1.0,4.0,1.0,1.0,52.5542,37.0,S
1.0,1.0,1.0,1.0,4.0,1.0,1.0,52.5542,47.0,S
1.0,1.0,0.0,2.0,3.0,0.0,0.0,30.0,26.0,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,227.525,42.0,S
1.0,1.0,1.0,1.0,3.0,0.0,0.0,221.7792,29.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,26.0,25.0,NS
1.0,1.0,0.0,2.0,2.0,1.0,0.0,91.0792,25.0,S
1.0,1.0,1.0,2.0,2.0,1.0,0.0,91.0792,19.0,S
1.0,1.0,1.0,1.0,3.0,0.0,0.0,135.6333,35.0,S
1.0,1.0,0.0,1.0,3.0,0.0,0.0,26.55,28.0,S
0.0,1.0,0.0,1.0,9.0,0.0,0.0,35.5,45.0,NS
1.0,1.0,0.0,2.0,1.0,0.0,0.0,31.0,40.0,S
1.0,1.0,1.0,1.0,3.0,0.0,0.0,164.8667,30.0,S
1.0,1.0,1.0,1.0,3.0,0.0,0.0,26.55,58.0,S
0.0,1.0,0.0,1.0,4.0,0.0,0.0,26.55,42.0,NS
1.0,1.0,1.0,2.0,0.0,0.0,0.0,262.375,45.0,S
1.0,1.0,1.0,1.0,5.0,0.0,1.0,55.0,22.0,S
1.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,29.8811345124283,S
0.0,1.0,0.0,1.0,1.0,0.0,0.0,30.5,41.0,NS
0.0,1.0,0.0,2.0,2.0,0.0,0.0,50.4958,48.0,NS
0.0,1.0,0.0,2.0,0.0,0.0,0.0,39.6,29.8811345124283,NS
1.0,1.0,1.0,2.0,2.0,0.0,0.0,27.7208,44.0,S
1.0,1.0,1.0,1.0,3.0,2.0,0.0,51.4792,59.0,S
1.0,1.0,1.0,2.0,4.0,0.0,0.0,76.2917,60.0,S
1.0,1.0,1.0,2.0,5.0,0.0,0.0,134.5,41.0,S
0.0,1.0,0.0,1.0,2.0,0.0,0.0,26.55,45.0,NS
0.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,29.8811345124283,NS
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.2875,42.0,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,27.4458,53.0,S
1.0,1.0,0.0,2.0,2.0,0.0,1.0,512.3292,36.0,S
1.0,1.0,1.0,2.0,2.0,0.0,1.0,512.3292,58.0,S
0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,33.0,NS
0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.1,28.0,NS
0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.1,17.0,NS
1.0,1.0,0.0,1.0,2.0,1.0,2.0,120.0,11.0,S
1.0,1.0,1.0,1.0,2.0,1.0,2.0,120.0,14.0,S
1.0,1.0,0.0,1.0,2.0,1.0,2.0,120.0,36.0,S
1.0,1.0,1.0,1.0,2.0,1.0,2.0,120.0,36.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,49.0,NS
1.0,1.0,1.0,2.0,0.0,0.0,0.0,27.7208,29.8811345124283,S
0.0,1.0,0.0,1.0,3.0,1.0,0.0,78.85,36.0,NS
1.0,1.0,1.0,1.0,3.0,1.0,0.0,78.85,76.0,S
0.0,1.0,0.0,1.0,5.0,1.0,0.0,61.175,46.0,NS
1.0,1.0,1.0,1.0,5.0,1.0,0.0,61.175,47.0,S
1.0,1.0,0.0,1.0,5.0,1.0,0.0,53.1,27.0,S
1.0,1.0,1.0,1.0,5.0,1.0,0.0,53.1,33.0,S
1.0,1.0,1.0,2.0,2.0,0.0,0.0,262.375,36.0,S
1.0,1.0,1.0,1.0,2.0,0.0,0.0,86.5,30.0,S
1.0,1.0,0.0,2.0,1.0,0.0,0.0,29.7,45.0,S
1.0,1.0,1.0,1.0,5.0,0.0,1.0,55.0,29.8811345124283,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.8811345124283,NS
0.0,1.0,0.0,2.0,3.0,1.0,0.0,136.7792,27.0,NS
1.0,1.0,1.0,2.0,3.0,1.0,0.0,136.7792,26.0,S
1.0,1.0,1.0,1.0,0.0,0.0,0.0,151.55,22.0,S
0.0,1.0,0.0,1.0,1.0,0.0,0.0,52.0,29.8811345124283,NS
0.0,1.0,0.0,1.0,5.0,0.0,0.0,25.5875,47.0,NS
1.0,1.0,1.0,2.0,5.0,1.0,1.0,83.1583,39.0,S
0.0,1.0,0.0,2.0,5.0,1.0,1.0,83.1583,37.0,NS
1.0,1.0,1.0,2.0,5.0,0.0,2.0,83.1583,64.0,S
1.0,1.0,1.0,1.0,3.0,2.0,0.0,25.7,55.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,29.8811345124283,NS
0.0,1.0,0.0,1.0,2.0,1.0,1.0,71.0,70.0,NS
1.0,1.0,1.0,1.0,2.0,0.0,2.0,71.0,36.0,S
1.0,1.0,1.0,1.0,2.0,1.0,1.0,26.55,64.0,S
0.0,1.0,0.0,2.0,3.0,1.0,0.0,71.2833,39.0,NS
1.0,1.0,1.0,2.0,3.0,1.0,0.0,71.2833,38.0,S
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.55,51.0,S
1.0,1.0,0.0,1.0,0.0,0.0,0.0,30.5,27.0,S
1.0,1.0,1.0,1.0,0.0,0.0,0.0,151.55,33.0,S
0.0,1.0,0.0,1.0,2.0,1.0,0.0,52.0,31.0,NS
1.0,1.0,1.0,1.0,2.0,1.0,2.0,52.0,27.0,S
1.0,1.0,0.0,1.0,2.0,1.0,0.0,57.0,31.0,S
1.0,1.0,1.0,1.0,2.0,1.0,0.0,57.0,17.0,S
1.0,1.0,0.0,1.0,1.0,1.0,1.0,81.8583,53.0,S
1.0,1.0,0.0,1.0,1.0,0.0,2.0,81.8583,4.0,S
1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.8583,54.0,S
0.0,1.0,0.0,2.0,3.0,1.0,0.0,106.425,50.0,NS
1.0,1.0,1.0,2.0,2.0,1.0,1.0,247.5208,27.0,S
1.0,1.0,1.0,2.0,3.0,1.0,0.0,106.425,48.0,S
1.0,1.0,1.0,2.0,1.0,1.0,0.0,39.6,48.0,S
1.0,1.0,0.0,2.0,1.0,1.0,0.0,56.9292,49.0,S
0.0,1.0,0.0,2.0,1.0,0.0,0.0,29.7,39.0,NS
1.0,1.0,1.0,2.0,3.0,0.0,1.0,83.1583,23.0,S
1.0,1.0,1.0,2.0,3.0,0.0,0.0,227.525,38.0,S
1.0,1.0,1.0,2.0,4.0,1.0,0.0,78.2667,54.0,S
0.0,1.0,1.0,2.0,1.0,0.0,0.0,31.6792,36.0,NS
0.0,1.0,0.0,1.0,3.0,0.0,0.0,221.7792,29.8811345124283,NS
1.0,1.0,1.0,1.0,0.0,0.0,0.0,31.6833,29.8811345124283,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,110.8833,29.8811345124283,S
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.3875,36.0,S
0.0,1.0,0.0,2.0,3.0,0.0,0.0,27.75,30.0,NS
1.0,1.0,1.0,1.0,3.0,3.0,2.0,263.0,24.0,S
1.0,1.0,1.0,1.0,3.0,3.0,2.0,263.0,28.0,S
1.0,1.0,1.0,1.0,3.0,3.0,2.0,263.0,23.0,S
0.0,1.0,0.0,1.0,3.0,3.0,2.0,263.0,19.0,NS
0.0,1.0,0.0,1.0,3.0,1.0,4.0,263.0,64.0,NS
1.0,1.0,1.0,1.0,3.0,1.0,4.0,263.0,60.0,S
1.0,1.0,1.0,2.0,5.0,0.0,0.0,56.9292,30.0,S
0.0,1.0,0.0,1.0,4.0,0.0,0.0,26.55,29.8811345124283,NS
1.0,1.0,0.0,1.0,0.0,2.0,0.0,133.65,50.0,S
1.0,1.0,0.0,2.0,4.0,1.0,0.0,27.7208,43.0,S
1.0,1.0,1.0,1.0,0.0,1.0,0.0,133.65,29.8811345124283,S
1.0,1.0,1.0,2.0,2.0,0.0,2.0,49.5,22.0,S
1.0,1.0,0.0,2.0,2.0,1.0,1.0,79.2,60.0,S
1.0,1.0,1.0,2.0,2.0,1.0,1.0,79.2,48.0,S
0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,29.8811345124283,NS
0.0,1.0,0.0,1.0,3.0,1.0,0.0,53.1,37.0,NS
1.0,1.0,1.0,1.0,3.0,1.0,0.0,53.1,35.0,S
0.0,1.0,0.0,1.0,5.0,0.0,0.0,38.5,47.0,NS
1.0,1.0,1.0,2.0,3.0,0.0,0.0,211.5,35.0,S
1.0,1.0,1.0,2.0,0.0,0.0,1.0,59.4,22.0,S
1.0,1.0,1.0,2.0,0.0,0.0,1.0,59.4,45.0,S
0.0,1.0,0.0,2.0,2.0,0.0,0.0,79.2,24.0,NS
1.0,1.0,0.0,2.0,3.0,1.0,0.0,89.1042,49.0,S
1.0,1.0,1.0,2.0,3.0,1.0,0.0,89.1042,29.8811345124283,S
0.0,1.0,0.0,2.0,1.0,0.0,0.0,34.6542,71.0,NS
1.0,1.0,0.0,2.0,3.0,0.0,0.0,28.5,53.0,S
1.0,1.0,1.0,1.0,2.0,0.0,0.0,30.0,19.0,S
0.0,1.0,0.0,1.0,3.0,0.0,1.0,153.4625,38.0,NS
1.0,1.0,1.0,1.0,3.0,0.0,1.0,153.4625,58.0,S
1.0,1.0,0.0,2.0,4.0,0.0,1.0,63.3583,23.0,S
1.0,1.0,1.0,2.0,4.0,0.0,1.0,63.3583,45.0,S
0.0,1.0,0.0,2.0,2.0,0.0,0.0,79.2,46.0,NS
1.0,1.0,0.0,2.0,5.0,1.0,0.0,55.4417,25.0,S
1.0,1.0,1.0,2.0,5.0,1.0,0.0,55.4417,25.0,S
1.0,1.0,0.0,2.0,4.0,1.0,0.0,76.7292,48.0,S
1.0,1.0,1.0,2.0,4.0,1.0,0.0,76.7292,49.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.4,29.8811345124283,NS
0.0,1.0,0.0,1.0,3.0,1.0,0.0,83.475,45.0,NS
1.0,1.0,1.0,1.0,3.0,1.0,0.0,83.475,35.0,S
0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,40.0,NS
1.0,1.0,0.0,2.0,4.0,0.0,0.0,76.7292,27.0,S
1.0,1.0,0.0,1.0,4.0,0.0,0.0,30.0,29.8811345124283,S
1.0,1.0,1.0,2.0,3.0,0.0,0.0,83.1583,24.0,S
0.0,1.0,0.0,1.0,2.0,1.0,1.0,93.5,55.0,NS
1.0,1.0,1.0,1.0,2.0,1.0,1.0,93.5,52.0,S
0.0,1.0,0.0,1.0,2.0,0.0,0.0,42.5,42.0,NS
0.0,1.0,0.0,1.0,5.0,0.0,0.0,51.8625,29.8811345124283,NS
0.0,1.0,0.0,1.0,3.0,0.0,0.0,50.0,55.0,NS
1.0,1.0,1.0,2.0,2.0,0.0,1.0,57.9792,16.0,S
1.0,1.0,1.0,2.0,2.0,0.0,1.0,57.9792,44.0,S
1.0,1.0,1.0,1.0,4.0,1.0,0.0,77.9583,51.0,S
0.0,1.0,0.0,1.0,0.0,1.0,0.0,52.0,42.0,NS
1.0,1.0,1.0,1.0,0.0,1.0,0.0,52.0,35.0,S
1.0,1.0,0.0,2.0,0.0,0.0,0.0,26.55,35.0,S
1.0,1.0,0.0,1.0,3.0,1.0,0.0,90.0,38.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,30.6958,29.8811345124283,NS
1.0,1.0,1.0,1.0,3.0,1.0,0.0,90.0,35.0,S
1.0,1.0,1.0,,2.0,0.0,0.0,80.0,38.0,S
0.0,1.0,1.0,2.0,3.0,0.0,0.0,28.7125,50.0,NS
1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,49.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,46.0,NS
0.0,1.0,0.0,1.0,5.0,0.0,0.0,26.0,50.0,NS
0.0,1.0,0.0,2.0,3.0,0.0,0.0,211.5,32.5,NS
0.0,1.0,0.0,2.0,2.0,0.0,0.0,29.7,58.0,NS
0.0,1.0,0.0,1.0,4.0,1.0,0.0,51.8625,41.0,NS
1.0,1.0,1.0,1.0,4.0,1.0,0.0,51.8625,29.8811345124283,S
1.0,1.0,0.0,1.0,4.0,1.0,0.0,52.5542,42.0,S
1.0,1.0,1.0,1.0,4.0,1.0,0.0,52.5542,45.0,S
0.0,1.0,0.0,1.0,3.0,0.0,0.0,26.55,29.8811345124283,NS
1.0,1.0,1.0,1.0,0.0,0.0,0.0,211.3375,39.0,S
1.0,1.0,1.0,1.0,4.0,0.0,0.0,25.9292,49.0,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,106.425,30.0,S
1.0,1.0,0.0,2.0,2.0,0.0,0.0,512.3292,35.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,27.7208,29.8811345124283,NS
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,42.0,NS
1.0,1.0,1.0,2.0,0.0,0.0,0.0,27.7208,55.0,S
1.0,1.0,1.0,1.0,4.0,0.0,1.0,39.4,16.0,S
1.0,1.0,1.0,1.0,4.0,0.0,1.0,39.4,51.0,S
0.0,1.0,0.0,1.0,4.0,0.0,0.0,30.0,29.0,NS
1.0,1.0,1.0,1.0,4.0,0.0,0.0,77.9583,21.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,45.5,30.0,NS
1.0,1.0,1.0,2.0,2.0,0.0,0.0,146.5208,58.0,S
1.0,1.0,1.0,1.0,2.0,0.0,1.0,211.3375,15.0,S
0.0,1.0,0.0,1.0,3.0,0.0,0.0,26.0,30.0,NS
1.0,1.0,1.0,1.0,2.0,0.0,0.0,86.5,16.0,S
1.0,1.0,0.0,2.0,3.0,0.0,0.0,29.7,29.8811345124283,S
0.0,1.0,0.0,1.0,4.0,1.0,0.0,53.1,19.0,NS
1.0,1.0,1.0,1.0,4.0,1.0,0.0,53.1,18.0,S
1.0,1.0,1.0,2.0,3.0,0.0,0.0,49.5042,24.0,S
0.0,1.0,0.0,2.0,3.0,0.0,0.0,75.2417,46.0,NS
0.0,1.0,0.0,1.0,5.0,0.0,0.0,51.8625,54.0,NS
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.2875,36.0,S
0.0,1.0,0.0,2.0,0.0,1.0,0.0,82.1708,28.0,NS
1.0,1.0,1.0,2.0,0.0,1.0,0.0,82.1708,29.8811345124283,S
0.0,1.0,0.0,1.0,5.0,0.0,0.0,26.55,65.0,NS
0.0,1.0,0.0,3.0,3.0,2.0,0.0,90.0,44.0,NS
1.0,1.0,1.0,3.0,3.0,1.0,0.0,90.0,33.0,S
1.0,1.0,1.0,3.0,3.0,1.0,0.0,90.0,37.0,S
1.0,1.0,0.0,2.0,3.0,1.0,0.0,57.75,30.0,S
0.0,1.0,0.0,1.0,3.0,0.0,0.0,30.5,55.0,NS
0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.4,47.0,NS
0.0,1.0,0.0,2.0,3.0,0.0,1.0,29.7,37.0,NS
1.0,1.0,1.0,2.0,4.0,1.0,0.0,113.275,31.0,S
1.0,1.0,1.0,2.0,4.0,1.0,0.0,113.275,23.0,S
0.0,1.0,0.0,2.0,4.0,0.0,2.0,113.275,58.0,NS
1.0,1.0,1.0,1.0,4.0,0.0,2.0,26.2833,19.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,64.0,NS
1.0,1.0,1.0,2.0,3.0,0.0,0.0,108.9,39.0,S
1.0,1.0,0.0,2.0,0.0,0.0,0.0,25.7417,29.8811345124283,S
1.0,1.0,1.0,2.0,2.0,0.0,1.0,61.9792,22.0,S
0.0,1.0,0.0,2.0,2.0,0.0,1.0,61.9792,65.0,NS
0.0,1.0,0.0,2.0,4.0,0.0,0.0,27.7208,28.5,NS
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.8811345124283,NS
0.0,1.0,0.0,1.0,3.0,0.0,0.0,28.5,45.5,NS
0.0,1.0,0.0,1.0,2.0,0.0,0.0,93.5,23.0,NS
0.0,1.0,0.0,1.0,3.0,1.0,0.0,66.6,29.0,NS
1.0,1.0,1.0,1.0,3.0,1.0,0.0,66.6,22.0,S
0.0,1.0,0.0,2.0,3.0,1.0,0.0,108.9,18.0,NS
1.0,1.0,1.0,2.0,3.0,1.0,0.0,108.9,17.0,S
1.0,1.0,1.0,1.0,2.0,0.0,0.0,93.5,30.0,S
1.0,1.0,0.0,1.0,3.0,0.0,0.0,30.5,52.0,S
0.0,1.0,0.0,1.0,3.0,0.0,0.0,52.0,47.0,NS
1.0,1.0,1.0,2.0,3.0,0.0,1.0,83.1583,56.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,NS
1.0,1.0,0.0,1.0,0.0,0.0,0.0,39.6,29.8811345124283,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,135.6333,22.0,NS
0.0,1.0,0.0,2.0,0.0,0.0,0.0,227.525,29.8811345124283,NS
1.0,1.0,1.0,1.0,2.0,0.0,1.0,211.3375,43.0,S
0.0,1.0,0.0,1.0,1.0,0.0,0.0,50.4958,31.0,NS
1.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,45.0,S
0.0,1.0,0.0,1.0,1.0,0.0,0.0,50.0,29.8811345124283,NS
1.0,1.0,1.0,2.0,1.0,0.0,0.0,27.7208,33.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,79.2,46.0,NS
0.0,1.0,0.0,2.0,1.0,0.0,0.0,40.125,36.0,NS
1.0,1.0,1.0,1.0,2.0,0.0,0.0,86.5,33.0,S
0.0,1.0,0.0,2.0,0.0,1.0,0.0,59.4,55.0,NS
1.0,1.0,1.0,2.0,0.0,1.0,0.0,59.4,54.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,33.0,NS
1.0,1.0,0.0,2.0,2.0,2.0,2.0,262.375,13.0,S
1.0,1.0,1.0,2.0,2.0,2.0,2.0,262.375,18.0,S
1.0,1.0,1.0,2.0,2.0,2.0,2.0,262.375,21.0,S
0.0,1.0,0.0,2.0,2.0,1.0,3.0,262.375,61.0,NS
1.0,1.0,1.0,2.0,2.0,1.0,3.0,262.375,48.0,S
1.0,1.0,0.0,1.0,3.0,0.0,0.0,30.5,29.8811345124283,S
1.0,1.0,1.0,2.0,2.0,0.0,0.0,69.3,24.0,S
1.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,29.8811345124283,S
1.0,1.0,1.0,2.0,3.0,1.0,0.0,57.75,35.0,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,31.0,30.0,S
1.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,34.0,S
1.0,1.0,1.0,1.0,3.0,0.0,0.0,153.4625,40.0,S
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.2875,35.0,S
0.0,1.0,0.0,1.0,5.0,1.0,0.0,55.9,50.0,NS
1.0,1.0,1.0,1.0,5.0,1.0,0.0,55.9,39.0,S
1.0,1.0,0.0,2.0,1.0,0.0,0.0,35.5,56.0,S
1.0,1.0,0.0,1.0,1.0,0.0,0.0,35.5,28.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,56.0,NS
0.0,1.0,0.0,2.0,1.0,0.0,0.0,30.6958,56.0,NS
0.0,1.0,0.0,1.0,3.0,1.0,0.0,60.0,24.0,NS
0.0,1.0,0.0,1.0,1.0,0.0,0.0,26.0,29.8811345124283,NS
1.0,1.0,1.0,1.0,3.0,1.0,0.0,60.0,18.0,S
1.0,1.0,0.0,1.0,2.0,1.0,0.0,82.2667,24.0,S
1.0,1.0,1.0,1.0,2.0,1.0,0.0,82.2667,23.0,S
1.0,1.0,0.0,2.0,5.0,0.0,2.0,134.5,6.0,S
1.0,1.0,0.0,2.0,5.0,1.0,1.0,134.5,45.0,S
1.0,1.0,1.0,2.0,5.0,1.0,1.0,134.5,40.0,S
0.0,1.0,0.0,2.0,2.0,1.0,0.0,146.5208,57.0,NS
1.0,1.0,1.0,2.0,2.0,1.0,0.0,146.5208,29.8811345124283,S
1.0,1.0,0.0,2.0,2.0,0.0,0.0,30.5,32.0,S
0.0,1.0,0.0,1.0,3.0,0.0,0.0,26.55,62.0,NS
1.0,1.0,0.0,2.0,3.0,1.0,0.0,55.4417,54.0,S
1.0,1.0,1.0,2.0,3.0,1.0,0.0,55.4417,43.0,S
1.0,1.0,1.0,2.0,4.0,1.0,0.0,78.2667,52.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,27.7208,29.8811345124283,NS
1.0,1.0,1.0,,2.0,0.0,0.0,80.0,62.0,S
0.0,1.0,0.0,1.0,3.0,1.0,0.0,221.7792,67.0,NS
0.0,1.0,1.0,1.0,3.0,1.0,0.0,221.7792,63.0,NS
0.0,1.0,0.0,1.0,4.0,0.0,0.0,32.3208,61.0,NS
1.0,1.0,1.0,1.0,4.0,0.0,0.0,25.9292,48.0,S
1.0,1.0,1.0,1.0,5.0,0.0,2.0,79.65,18.0,S
0.0,1.0,0.0,1.0,5.0,1.0,1.0,79.65,52.0,NS
1.0,1.0,1.0,1.0,5.0,1.0,1.0,79.65,39.0,S
1.0,1.0,0.0,1.0,3.0,1.0,0.0,52.0,48.0,S
1.0,1.0,1.0,1.0,3.0,1.0,0.0,52.0,29.8811345124283,S
0.0,1.0,0.0,2.0,3.0,1.0,1.0,110.8833,49.0,NS
1.0,1.0,0.0,2.0,3.0,0.0,2.0,110.8833,17.0,S
1.0,1.0,1.0,2.0,3.0,1.0,1.0,110.8833,39.0,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,79.2,29.8811345124283,S
1.0,1.0,0.0,2.0,3.0,0.0,0.0,28.5375,31.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,27.7208,40.0,NS
0.0,1.0,0.0,1.0,2.0,0.0,0.0,33.5,61.0,NS
0.0,1.0,0.0,1.0,4.0,0.0,0.0,34.0208,47.0,NS
1.0,1.0,1.0,2.0,0.0,0.0,0.0,512.3292,35.0,S
0.0,1.0,0.0,2.0,4.0,1.0,0.0,75.25,64.0,NS
1.0,1.0,1.0,2.0,4.0,1.0,0.0,75.25,60.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,60.0,NS
0.0,1.0,0.0,1.0,4.0,0.0,1.0,77.2875,54.0,NS
0.0,1.0,0.0,1.0,4.0,0.0,1.0,77.2875,21.0,NS
1.0,1.0,1.0,2.0,3.0,0.0,0.0,135.6333,55.0,S
1.0,1.0,1.0,1.0,3.0,0.0,2.0,164.8667,31.0,S
0.0,1.0,0.0,1.0,0.0,1.0,1.0,164.8667,57.0,NS
1.0,1.0,1.0,1.0,0.0,1.0,1.0,164.8667,45.0,S
0.0,1.0,0.0,2.0,3.0,1.0,1.0,211.5,50.0,NS
0.0,1.0,0.0,2.0,3.0,0.0,2.0,211.5,27.0,NS
1.0,1.0,1.0,2.0,3.0,1.0,1.0,211.5,50.0,S
1.0,1.0,1.0,1.0,0.0,0.0,0.0,26.55,21.0,S
0.0,1.0,0.0,2.0,0.0,0.0,1.0,61.3792,51.0,NS
1.0,1.0,0.0,2.0,0.0,0.0,1.0,61.3792,21.0,S
0.0,1.0,0.0,1.0,3.0,0.0,0.0,35.0,29.8811345124283,NS
1.0,1.0,1.0,2.0,5.0,0.0,0.0,134.5,31.0,S
1.0,1.0,0.0,1.0,3.0,0.0,0.0,35.5,29.8811345124283,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.55,62.0,NS
1.0,1.0,1.0,2.0,3.0,0.0,0.0,135.6333,36.0,S
0.0,2.0,0.0,2.0,0.0,1.0,0.0,24.0,30.0,NS
1.0,2.0,1.0,2.0,0.0,1.0,0.0,24.0,28.0,S
0.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,30.0,NS
0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.5,18.0,NS
0.0,2.0,0.0,1.0,0.0,0.0,0.0,10.5,25.0,NS
0.0,2.0,0.0,1.0,0.0,1.0,0.0,26.0,34.0,NS
1.0,2.0,1.0,1.0,0.0,1.0,0.0,26.0,36.0,S
0.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,57.0,NS
